OBJECTID,NAME,COLOR,Source of Data,Date Updated,Effective Date,Expiration Date,Emergency Service Boundary NENA Globally Unique ID,State,Agency ID,Service URI,Service URN,Service Number,Agency vCard URI,Display Name,Discrepancy Agency ID,Shape__Area,Shape__Length
55,HARRISVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HARRISVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,13699796.88,23944.76318
56,HEBER CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HEBER CITY POLICE DEPARTMENT,gis.utah.gov/data/911,108444544.9,94124.42386
57,HELPER PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HELPER POLICE DEPARTMENT,gis.utah.gov/data/911,7925086.975,19810.5691
58,HERRIMAN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HERRIMAN POLICE DEPARTMENT,gis.utah.gov/data/911,103638385.1,77262.57317
59,HILDALE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HILDALE POLICE DEPARTMENT,gis.utah.gov/data/911,36859181.33,50663.88983
133,HILL AFB SECURITY FORCES,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HILL AFB SECURITY FORCES,gis.utah.gov/data/911,45496767.79,36312.95014
60,HURRICANE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,HURRICANE POLICE DEPARTMENT,gis.utah.gov/data/911,218242045.3,108321.0574
22,IRON COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,IRON COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,13495373335,854412.3751
8,JUAB COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,JUAB COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,14588229806,925607.1617
61,KAMAS PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,KAMAS POLICE DEPARTMENT,gis.utah.gov/data/911,17529709.56,30119.35624
62,KANAB PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,KANAB POLICE DEPARTMENT,gis.utah.gov/data/911,63367452.25,43974.9795
27,KANE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,KANE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,16747094612,753191.694
63,KAYSVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,KAYSVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,48534373.38,54944.8876
64,LA VERKIN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LA VERKIN POLICE DEPARTMENT,gis.utah.gov/data/911,55850443.41,42817.953
65,LAYTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LAYTON POLICE DEPARTMENT,gis.utah.gov/data/911,103399512,88495.24498
66,LEHI PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LEHI POLICE DEPARTMENT,gis.utah.gov/data/911,137482868,135252.5405
67,LINDON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LINDON POLICE DEPARTMENT,gis.utah.gov/data/911,38072956.89,38584.8357
68,LOGAN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LOGAN POLICE DEPARTMENT,gis.utah.gov/data/911,86986360.28,107166.0143
120,LONE PEAK PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,LONE PEAK POLICE DEPARTMENT,gis.utah.gov/data/911,74486320.59,74118.82122
69,MANTUA PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MANTUA POLICE DEPARTMENT,gis.utah.gov/data/911,26178713.72,28299.07766
70,MAPLETON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MAPLETON POLICE DEPARTMENT,gis.utah.gov/data/911,59136289.08,39736.63138
4,MILLARD COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MILLARD COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,29421994253,742424.5597
71,MOAB PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MOAB POLICE DEPARTMENT,gis.utah.gov/data/911,20424811.41,59774.6114
26,MORGAN COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MORGAN COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,2788015916,361800.7874
72,MORONI PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MORONI POLICE DEPARTMENT,gis.utah.gov/data/911,4639207.418,10455.56773
73,MOUNT PLEASANT PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MOUNT PLEASANT POLICE DEPARTMENT,gis.utah.gov/data/911,12789364.55,22777.86766
74,MURRAY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,MURRAY POLICE DEPARTMENT,gis.utah.gov/data/911,55407119.14,42221.53069
75,NAPLES PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NAPLES POLICE DEPARTMENT,gis.utah.gov/data/911,29556561.85,29803.27887
129,NAVAJO NATION PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NAVAJO NATION POLICE DEPARTMENT,gis.utah.gov/data/911,8118950477,1450784.919
76,NEPHI PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NEPHI POLICE DEPARTMENT,gis.utah.gov/data/911,24110135.75,43383.45498
77,NORTH OGDEN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NORTH OGDEN POLICE DEPARTMENT,gis.utah.gov/data/911,34936782.02,56216.57453
121,NORTH PARK PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NORTH PARK POLICE DEPARTMENT,gis.utah.gov/data/911,55609620.96,51106.35056
78,NORTH SALT LAKE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,NORTH SALT LAKE POLICE DEPARTMENT,gis.utah.gov/data/911,39380299.71,40983.19035
79,OGDEN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,OGDEN POLICE DEPARTMENT,gis.utah.gov/data/911,125988778.2,82449.10977
80,OREM PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,OREM POLICE DEPARTMENT,gis.utah.gov/data/911,83085333.08,64327.05519
81,PARK CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PARK CITY POLICE DEPARTMENT,gis.utah.gov/data/911,100364822.1,65967.68609
122,PAROWAN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PAROWAN POLICE DEPARTMENT,gis.utah.gov/data/911,31539452.16,73898.98233
82,PAYSON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PAYSON POLICE DEPARTMENT,gis.utah.gov/data/911,58473538.71,75427.50391
83,PERRY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PERRY POLICE DEPARTMENT,gis.utah.gov/data/911,36991067.61,34257.6589
20,PIUTE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PIUTE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,3229970431,288348.4322
84,PLAIN CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PLAIN CITY POLICE DEPARTMENT,gis.utah.gov/data/911,56173791.57,61228.48073
85,PLEASANT GROVE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PLEASANT GROVE POLICE DEPARTMENT,gis.utah.gov/data/911,41022906.11,45147.35904
86,PLEASANT VIEW PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PLEASANT VIEW POLICE DEPARTMENT,gis.utah.gov/data/911,32224395.64,33894.76492
87,PRICE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PRICE POLICE DEPARTMENT,gis.utah.gov/data/911,21984077.43,28787.36833
88,PROVO PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,PROVO POLICE DEPARTMENT,gis.utah.gov/data/911,197501306.9,120487.7868
12,RICH COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,RICH COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,5040496227,401165.3968
89,RICHFIELD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,RICHFIELD POLICE DEPARTMENT,gis.utah.gov/data/911,26354068.42,62946.68849
90,RIVERDALE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,RIVERDALE POLICE DEPARTMENT,gis.utah.gov/data/911,18956386.95,30294.01618
91,RIVERTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,RIVERTON POLICE DEPARTMENT,gis.utah.gov/data/911,56551782.77,45927.7482
92,ROOSEVELT PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ROOSEVELT POLICE DEPARTMENT,gis.utah.gov/data/911,31390416.38,73883.4919
93,ROY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ROY POLICE DEPARTMENT,gis.utah.gov/data/911,37147280.63,33282.29374
94,SALEM PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SALEM POLICE DEPARTMENT,gis.utah.gov/data/911,53585182.19,70912.53855
95,SALINA PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SALINA POLICE DEPARTMENT,gis.utah.gov/data/911,25203447.13,39791.39004
96,SALT LAKE CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SALT LAKE CITY POLICE DEPARTMENT,gis.utah.gov/data/911,503834157.2,168806.1439
25,SAN JUAN COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SAN JUAN COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,24549216863,2486425.461
97,SANDY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SANDY POLICE DEPARTMENT,gis.utah.gov/data/911,109444897.1,153776.2727
9,SANPETE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SANPETE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,6868197167,538283.0719
123,SANTA CLARA-IVINS PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SANTA CLARA-IVINS POLICE DEPARTMENT,gis.utah.gov/data/911,63508083.12,59038.89218
124,SANTAQUIN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SANTAQUIN POLICE DEPARTMENT,gis.utah.gov/data/911,109302488,120225.5408
125,SARATOGA SPRINGS-BLUFFDALE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SARATOGA SPRINGS-BLUFFDALE POLICE DEPARTMENT,gis.utah.gov/data/911,154319267.8,142214.765
16,SEVIER COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SEVIER COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,8124564246,547665.2042
98,SMITHFIELD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SMITHFIELD POLICE DEPARTMENT,gis.utah.gov/data/911,28095452.34,31004.90146
99,SOUTH JORDAN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SOUTH JORDAN POLICE DEPARTMENT,gis.utah.gov/data/911,116033501.7,69303.4954
100,SOUTH OGDEN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SOUTH OGDEN POLICE DEPARTMENT,gis.utah.gov/data/911,17907824.07,29010.91691
101,SOUTH SALT LAKE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SOUTH SALT LAKE POLICE DEPARTMENT,gis.utah.gov/data/911,31314557.29,26386.49433
102,SPANISH FORK PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SPANISH FORK POLICE DEPARTMENT,gis.utah.gov/data/911,79582859.58,90240.88484
103,SPRING CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SPRING CITY POLICE DEPARTMENT,gis.utah.gov/data/911,6149901.168,10726.29969
126,SPRINGDALE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SPRINGDALE POLICE DEPARTMENT,gis.utah.gov/data/911,53351936.01,59679.68071
104,SPRINGVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SPRINGVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,64478942.93,58013.95687
105,ST. GEORGE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,ST. GEORGE POLICE DEPARTMENT,gis.utah.gov/data/911,315625593.1,125447.4667
106,STOCKTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,STOCKTON POLICE DEPARTMENT,gis.utah.gov/data/911,7577490.355,14222.93097
19,SUMMIT COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SUMMIT COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,8415109283,693117.3635
107,SUNSET PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SUNSET POLICE DEPARTMENT,gis.utah.gov/data/911,5325162.207,11052.68145
108,SYRACUSE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,SYRACUSE POLICE DEPARTMENT,gis.utah.gov/data/911,47501980.67,42589.24836
109,TAYLORSVILLE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,TAYLORSVILLE POLICE DEPARTMENT,gis.utah.gov/data/911,48863547.41,38214.2219
18,TOOELE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,TOOELE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,32272442706,989566.4729
110,TOOELE PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,TOOELE POLICE DEPARTMENT,gis.utah.gov/data/911,108179399.9,74777.76662
130,TOWAOC TRIBAL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,TOWAOC TRIBAL POLICE DEPARTMENT,gis.utah.gov/data/911,94434402.38,193044.7169
127,TREMONTON-GARLAND PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,TREMONTON-GARLAND POLICE DEPARTMENT,gis.utah.gov/data/911,47458233.39,76343.39735
21,UINTAH COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,UINTAH COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,16684287055,2169704.06
28,UNIFIED PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,UNIFIED POLICE DEPARTMENT,gis.utah.gov/data/911,2090419429,706503.6163
29,UTAH COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,UTAH COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,8201005656,1489374.428
131,UTE TRIBAL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,UTE TRIBAL POLICE DEPARTMENT,gis.utah.gov/data/911,7367857358,3497114.563
111,VERNAL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,VERNAL POLICE DEPARTMENT,gis.utah.gov/data/911,20998154.12,49031.23371
5,WASATCH COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WASATCH COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,5266835107,565046.0811
10,WASHINGTON COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WASHINGTON COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,9034182341,871764.8316
112,WASHINGTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WASHINGTON POLICE DEPARTMENT,gis.utah.gov/data/911,147606494.8,101225.1924
24,WAYNE COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WAYNE COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,10397020494,570114.6289
7,WEBER COUNTY SO,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WEBER COUNTY SHERIFFS OFFICE,gis.utah.gov/data/911,2688581649,580359.3963
113,WELLINGTON PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WELLINGTON POLICE DEPARTMENT,gis.utah.gov/data/911,22272285.61,59456.0577
114,WENDOVER PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WENDOVER POLICE DEPARTMENT,gis.utah.gov/data/911,40301885.82,31267.16857
115,WEST BOUNTIFUL PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WEST BOUNTIFUL POLICE DEPARTMENT,gis.utah.gov/data/911,15093115.2,23156.37356
116,WEST JORDAN PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WEST JORDAN POLICE DEPARTMENT,gis.utah.gov/data/911,146605704,69322.35336
117,WEST VALLEY CITY PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WEST VALLEY CITY POLICE DEPARTMENT,gis.utah.gov/data/911,161527778.3,75182.49613
118,WILLARD PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WILLARD POLICE DEPARTMENT,gis.utah.gov/data/911,34095035.86,34298.83759
119,WOODS CROSS PD,,UGRC,10/23/24 15:32,,,LAW30@gis.utah.gov,UT,,,,911,,WOODS CROSS POLICE DEPARTMENT,gis.utah.gov/data/911,17402177.98,25597.62725
