OBJECTID,DAQ_ID,COMPANY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,COUNTY,EASTING,NORTHING,YEAR,CARBON_MONOXIDE,OXIDES_NITROGEN,AMMONIA,PARTICULATE_MATTER_PM10,OXIDES_SULFUR,PM25,VOLATILE_ORGANIC_COMPOUNDS,x,y
38,14083,TM Crushing LLC- Grantsville Sand & Gravel Pit,5 miles south of Grantsville,,,Tooele County,Tooele,374257,4485427,2017,3.4893,9.6433,,1.0502,,0.0857,0.4473,-12521680.62,4940338.814
39,11190,Crystal Animal Products Incorporated- Lehi Manufacturing Facility,10420 W 9300 N,,,Lehi,Utah,423000,4471000,2017,0.78,1.36,,,,,,-12457451.2,4922199.764
40,14225,Action Target Inc. - Firearms Training Equipment Manufacturing Site #2,3411 S Mountain Vista Pkwy,,,Provo,Utah,447310,4449251,2017,,,,,,,14.62475515,-12425370.24,4893882.549
41,12085,Staker & Parson Companies- Lehi-Peck Pit,Approximately 5.6 miles west,of Lehi on Hwy 73,,Lehi,Utah,418700,4470900,2017,0.23,0.39,,1.38,,0.28,0.09,-12463088.63,4922008.416
42,12108,Staker & Parson Companies- Bacchus Sand & Gravel Pit #1,8300 S Baccus Hwy,,,West Jordan,Salt Lake,410000,4494700,2017,0.25,0.59,,4.37,,0.59,0.2,-12474873.19,4953257.411
43,12113, Staker & Parson Companies- Daniels Canyon Pit,3.75 Southeast of Junction US 189 and US 40,,,Heber City,Wasatch,468500,4478000,2017,0.08,0.24,,1,,0.16,0.09,-12397817.33,4931853.953
44,12130,Staker & Parson Companies- Gomex Pit- Aggregate Processing Plant,near Sp. Fork ~1 mile S,of Moark Jct along Hwy 6,,Spanish Fork,Utah,450500,4436000,2017,0.0003,0.0003,,0.013,,0.002,0.0001,-12421086.03,4876528.606
45,12242,Staker & Parson Companies- Rocky Point Pit,9205 South Hwy 89,,,Willard,Box Elder,413886,4576853,2017,0.6,1.73,,9.07,,1.46,0.62,-12471034.21,5062408.936
46,14245,Staker & Parson Companies- Point West Aggregate Pit,15750 S Redwood Rd,,,Herriman,Salt Lake,418100,4479600,2017,5.32,22.75,,19.65,,2.51,0.91,-12464000.16,4933459.557
47,14270,Staker Parson Companies - Price Asphalt Plant,4 miles south of Price,,,Carbon County,Carbon,515685,4376781,2017,0.09,0.1,,0.159,,0.068,0.01,-12336143.85,4799399.567
48,12289,Western Rock Products Corporation- Panguitch Pit,5 miles South of Panguitch,,,Panguitch,Garfield,377512,4180928,2017,0.26,0.08,,0.13,,0.03,0.02,-12511276.4,4546631.044
49,10685,Crandall Crushing- Aggregate Crusher & Asphalt Plant,2504 W SR 32,,,Peoa,Summit,472740,4508790,2017,0.701,5.157,,5.167,,3.464,0.021,-12392399.2,4972537.962
50,12894,Nielson Construction Company- Mill Flat Asphalt and Aggregate Pit,About 2 miles North and West,of Huntington on Hwy 31,,Emery County,Emery,499460,4356380,2017,8.58,3.65,,2.17,,1.54,2.11,-12357161.2,4772919.737
51,10011,Staker & Parson Companies- Brigham City Aggregate Plant & Pit,33 South 900 East,,,Brigham City,Box Elder,416739,4595739,2017,13.52,5,,21.91,,5.24,6.85,-12467528.46,5087704.934
52,10042,Staker & Parson Companies- McGuire Pit Crushing Operation,8211 South,U.S. HWY 89,,Willard,Box Elder,415490,4579875,2017,0.84,1.99,,12.27,,2.02,0.66,-12468947.33,5066470.266
53,10278,Western Rock Products Corporation- Cedar City Yard & Ready Mix Plant,1405 North Bulldog Rd.,,,Cedar City,Iron,316510,4175420,2017,3.91,1.22,,3.74,,1.21,1.75,-12588183.25,4538210.837
54,10645,Staker Parson Companies - Centerfield Asphalt Plant,400 North 350 East,,,Centerfield,Sanpete,429500,4330800,2017,33.76,10.19,,4.43,,2.16,3.05,-12447253.37,4739379.582
55,10440,IASIS Healthcare- Salt Lake Regional Medical Center,1050 East South Temple,,,Salt Lake City,Salt Lake,427400,4513200,2017,2.2869,6.0721,,0.4287,,0.4287,0.3097,-12452221.59,4977970.829
56,15553,"Rulon Harper Construction, Inc.- Pit No. 12",S11 T4S R5W,,,Tooele County,Tooele,383291,4482395,2017,3.28,6.42,,4.71,,1.43,0.16,-12509751.86,4936534.602
57,10688,Staker & Parson Companies- Francis Aggregate Pit,2750 Springhollow Road,,,Francis,Summit,476252,4494485,2017,0.07,0.31,,0.024,,0.007,0.0003,-12387709.33,4953641.542
58,10655,Hales Sand and Gravel Incorporated- Elsinore Pit,Brooklin Road,,,Elsinore,Sevier,400167,4282108,2017,0.15,0.26,,1.344,,0.278,0.07,-12484233.54,4676215.224
59,10972,Jack B. Parsons Company- Ogden Hot Mix Asphalt Facility,2350 South 1900 West,Suite 100,,Ogden,Weber,414400,4564300,2017,19.84,4.04,,3.87,,3.43,4.88,-12470154.06,5045669.31
60,15663,Staker Parson Companies - Maeser East Facility,3.3 miles southwest of Maeser,,,Maeser,Uintah,616250,4477800,2017,6.34,2.77,,4.06,,1.47,1.55,-12203871.51,4930488.72
61,10025,Autoliv North America - Ogden Automotive Airbag Manufacturing Plant,3350 Airport Road,,,Ogden,Weber,416323,4561661,2017,0.29601336,0.69566144,,0.05624419,,0.05624419,0.04770421,-12467560.33,5042182.43
62,14346,Staker & Parson Companies- Todd Moon Aggregate Facility,3.4 miles Southwest of Myton,,,Duchesne County,Duchesne,575461,4446407,2017,4.02,17.14,,2.81,,0.6,0.48,-12257816.45,4889895.831
63,14030,Specialty Lens Corporation: Polarized Lens Production,3955 S 210 W,,,Salt Lake City,Salt Lake,424204,4504288,2017,0.00300697,0.00043474,,1.428E-05,,1.428E-05,6.32535331,-12456317.06,4966136.478
64,14780,"Rocky Mountain Bread Company, Inc.- West Jordan Commercial Bakery",8556 S 2940 W,,,West Jordan,Salt Lake,418306,4494381,2017,1.54,1.82,,0.14,,0.14,14.88,-12463942.45,4952962.471
65,13273,LeGrand Johnson Construction Company- Knudson Pit,1200 East 700 South,,,Brigham City,Box Elder,416600,4594600,2017,0.964,3.059,,14.358,,6.406,0.402,-12467696.3,5086178.03
66,12121,Westroc Incorporated- Mona Aggregate Processing Plant & Concrete Batch Plant,Approximately 2.2 miles north of Mona on US Hwy 91,then east 1.5 miles,,Mona,Juab,429800,4411300,2017,19.214,61.93,,26.97,,15.547,8.246,-12447811.17,4843997.391
67,10443,Maaco Auto Painting & Bodyworks- Sandy Automobile Body Repair and Painting Facility,8411 South State,,,Sandy,Salt Lake,424796,4494340,2017,1.76088,7.843,,0.5566,,0.5566,1.40791,-12455404.3,4952998.671
68,10648,Central Utah Correctional Facility- Gunnison Correctional Facility,PO Box 898,255 East 300 North,,Gunnison,Sanpete,429000,4334200,2017,31.63,29.13,,7.52,,7.52,1.69,-12447936.85,4743770.554
69,14607,Staker Parson Companies - Ferron Facility,1 mile north of Ferron on Highway 10,,,Ferron ,Emery,486580,4328260,2017,0.15,0.16,,2.88,,0.41,0.03,-12373740.93,4736490.277
70,12898,Progressive Contracting Incorporated- Aggregate Mining,Washington County,T43 S/ R15 W,,Washington County,Washington,269100,4104100,2017,4.95,19.547,,2.333,,1.2333,2.203,-12645526.51,4446740.855
71,14794,RPS Composites-Utah Inc.- Reinforced Fiberglass Manufacturing Facility,615 West 900 North,,,North Salt Lake,Davis,421949,4523393,2017,0.00042,0.000987,,7.98E-05,,7.98E-05,0.73705775,-12459552.56,4991401.248
72,10365,Easton Technical Products- Tubing Manufacturing Facility,5040 W. Harold Gatty Drive,,,Salt Lake City,Salt Lake,414678,4514862,2017,0.7184,0.039512,,0.136496,,0.136496,3.51448,-12469024.64,4979991.73
73,13277,"Closure Systems International Americas, Inc.- Plastic Bottle and Cap Manufacturing Plant",480 North 5600 West,,,Salt Lake City,Salt Lake,413642,4514741,2017,0.11088,0.132,0.0006468,0.80821871,,0.60647958,2.877172,-12470389.32,4979815.599
74,14203,"YESCO, LLC - Commercial Signage Manufacturing Plant",1605 S Gramercy Rd,,,Salt Lake City,Salt Lake,416239,4509924,2017,,,,0.01,,,2.9,-12466892.41,4973479.364
75,12555,Vestar - Gateway Shopping Plaza Blocks A&B,100 S 400 W,"Gateway Mall, Blocks A&B",,Salt Lake City,Salt Lake,423700,4513500,2017,2.8317156,1.0787488,,0.25620284,,0.25620284,0.18540995,-12457105.33,4978318.762
76,12982,John Kuhni Sons Incorporated- Levan Rendering Plant,6480 West Mills Road,(6 miles NW of Levan),,Levan,Juab,416700,4371300,2017,1.07,6.36,,0.2,,,0.1,-12464293.72,4791711.74
77,13072,Sunroc Corporation- Chicken Creek Gypsum Processing Plant,One-Third Mile East of the,Mouth of Chicken Creek Canyon,,Levan,Juab,428900,4378000,2017,1.93,4.95,,3.91,,0.25,0.35,-12448582.44,4800580.602
78,10240,Castle Valley Mining LLC- Bear Canyon Mine,"Eleven miles west of Huntington, Utah on state Highway 31",,,Huntington,Emery,491700,4361900,2017,0.165,0.143,,3.3,,0.381,2.387,-12367195.37,4780077.561
79,14484,"R. Chapman Construction, Inc.- Harmston Asphalt Plant",2 miles north-west of Roosevelt,,,Duchesne County,Duchesne,584552,4464437,2017,5.09,15.51,,12.41,,5.12,7.31,-12245669.26,4913456.623
80,14214,Wasatch Minerals- Slate Processing Plant,10320 North 8800 West,,,Lehi,Utah,427139,4472693,2017,0.12,0.338,,0.221,,0.1042,0.0566,-12452044.94,4924483.295
81,11305,Brenntag Pacific Incorporated- Ogden Distribution Terminal,450 Exchange Road,,,Ogden,Weber,417300,4563800,2017,,,,,,,0.173,-12466295.41,5045047.46
82,11840,C. E. Butters Realty & Construction- Pleasant View Pit (Crushing Screening),1476 West 4300 North,,,Pleasant View,Weber,415467,4576681,2017,5.44,10.9,,1.96,,0.35,1.73,-12468928.42,5062204.085
83,10463,Sun Products Corporation- Detergent Manufacturing,1987 South 3540 West,,,Salt Lake City,Salt Lake,417568,4509184,2017,2.69,3.2,0.1,1.73,,1.73,37.55,-12465129.23,4972519.306
84,10232,Energy West Mining Company- Cottonwood Coal Prep Plant,3 miles S of Castle Dale,Hwy 10,,Castle Dale,Emery,496657,4335340,2017,2.36,5.36,,41.13,,39.12,0.48,-12360771.29,4745660.36
85,14178,"Owens Corning Insulating Systems, LLC- Fiberglass Manufacturing Facility",2762 South Main,,,Nephi,Juab,426698,4391372,2017,35.42,4.94,0.03,61.24,,47.39,13.4,-12451599.86,4817961.46
86,10675,Redmond Minerals Incorporated- Salt & Clay Mining and Salt Production Plant,6005 North 100 West,Redmond,,Sanpete County,Sanpete,424880,4322440,2017,1.74,4.97,,15.41,,1.27,0.63,-12453099.55,4728521.424
87,14234,Geneva Rock Products- Morgan Aggregate Plant,970 West Old Highway Road,,,Morgan,Morgan,444590,4544383,2017,3.96,12.12,,3.97,,1.19,0.43,-12429859.86,5019541.363
88,12899,Sunroc Corporation- SR 9 (Coral Canyon) Aggregate Pit,State Road 9,6200 West 75 North,,Hurricane,Washington,284200,4116200,2017,0.35,1.16,,3.53,,0.2618,0.14,-12627026.51,4462454.517
89,12516,Sunroc Corporation- Ft. Pearce Concrete Batch & Aggregate Plants,1825 E 3850 S,,,St. George,Washington,273640,4102380,2017,12.79,16.55,,23.48,,2.96,3.21,-12639790.44,4444734.789
90,10720,Clean Harbors Grassy Mountain LLC: Grassy Mountain Landfill Facility,remote location,Knolls exit,,Knolls,Tooele,313700,4520600,2017,20.66,11.03,,0.84,,0.84,2.16,-12602361.92,4985134.011
91,10273,Ashdown Brothers Construction- Asphalt Plant Crusher Concrete Plant,1134 N. Lund Hwy,,,Cedar City,Iron,316960,4174630,2017,40.43,32,,6.69,,3.55,4.26,-12587593.2,4537222.293
92,15463,Utah Sand and Gravel LLC- Beck Street Aggregate Pit,1264 North Beck Street,,,Salt Lake City,Salt Lake,423534,4516720,2017,0.5,0.43,,9.65,,2,0.03,-12457368.14,4982580.595
93,11808,Sunroc Corporation- Cedar City Aggregate and Concrete Batch Plant Facility,1970 North Bulldog Road,,,Cedar City,Iron,316891,4175920,2017,5.15,5.83,,14.47,,1.72,1.84,-12587716.4,4538855.285
94,10358,Varex Imaging Corporation - X-Ray Products Manufacturing Plant,1678 S. Pioneer Road,,,Salt Lake City,Salt Lake,418988,4509400,2017,0.2219016,0.51761,0.2008,0.140704,,0.140704,13.5815137,-12463260.68,4972825.825
95,15438,LaPoint Recycle and Storage - Produced Water Facility,P.O. Box 146,,,Lapoint,Uintah,607216,4473267,2017,0.315528,1.3689265,,0.02456662,,0.02389622,21.61013688,-12215811.97,4924696.086
96,11793,Savage Services Corporation- Savage Coal Terminal,2025 East 5000 South,,,Price,Carbon,519150,4375880,2017,4.812,11.515,0.2602,41.592,,12.349,0.968,-12331657.93,4798217.587
97,10407,Granite Construction Company- Cottonwood Facility,6901 S Wasatch Blvd,,,Salt Lake City,Salt Lake,432740,4497460,2017,35.36,17.2,,21.01,,8.06,11.7,-12444991.01,4957220.235
98,10665,Canyon Fuel Company LLC- SUFCO Mine,Salina Canyon,,,Salina,Sevier,463800,4307200,2017,12.33,36.28,,4.99,,0.65,2.23,-12402944.01,4709210.74
99,11797,Rulon Harper Construction Inc - Magna Pit #6,8201 W 5400 S,,,Salt Lake City,Salt Lake,408500,4500500,2017,2.11,9.73,,7.1,,1.28,2.12,-12476940.22,4960895.413
100,14047,"Alton Coal Developement, LLC-Coal Hollow Mine",2060 S Alton Rd,,,Alton,Kane,371534,4140699,2017,16.05,20.56,,14.54,,2.07,8.37,-12518044.22,4495594.414
101,10812,Nestle USA Prepared Foods Division Inc.- Prepared Foods Processing Plant,815 West Ray Klauck Way,,,Springville,Utah,446910,4448660,2017,16.124,19.324,,2.722,,2.253,2.823,-12425888.49,4893102.506
102,12661,Nephi Sandstone- South Town Quarry &  Concrete Batch Plant,1.5 miles from Jct. of Hwy 28,and Four Mile road,,Nephi,Juab,427700,4388800,2017,0.38,1.767,,0.127,,0.127,0.00016475,-12450268.2,4814623.249
103,12960,Intermountain Health Care- Dixie Regional Hospital (New),1380 East Medical Center Dr.,,,St. George,Washington,272841,4108744,2017,0.959,1.063,,0.085,,0.085,0.071,-12641003.77,4452703.388
104,10055,LeGrand Johnson Construction Company- Hyrum Pit w BMG Model 250S Asphalt Plant,5000 S 250 E,,,Hyrum,Cache,430470,4615270,2017,10.677,11.938,,55.595,,26.073,3.438,-12449466.42,5114084.355
105,13309,Cliff Johnson Excavating- Recycled Asphalt & Concrete Crushing & Screening,3499 S 500 W,,,South Salt Lake,Salt Lake,423570,4505150,2017,0.0036,0.012,,10.3444,,1.4789,0.0015,-12457163.33,4967268.017
106,10885,Staker & Parson Companies- Charleston Aggregate & Concrete Plant,Three miles south of Heber City,,,Charleston,Wasatch,461230,4479488,2017,0.92,1.91,,10.85,,1.92,0.48,-12407371.33,4933770.205
107,10654,United States Gypsum Company- Sigurd Plant,78 N State St,,,Sigurd,Sevier,417183,4301034,2017,33.09,17.36,0.42,23.31,,9.49,7.34,-12462711.56,4700813.645
108,10677,SLC Pipeline LLC - Wasatch Station,Remote Location,,,Summit County,Summit,494201,4565561,2017,,,,,,,2.47,-12364167.4,5048018.081
109,10681,SLC Pipeline LLC - Anschutz Station (Frontier),22 miles south of Evanston on Yellow Creek Road,,,Summit County,Summit,495200,4545600,2017,,,,,,,5.82,-12362822.84,5021436.083
110,10756,Northwest Pipeline GP- Vernal Compressor Station (Grand Father Equipment),1025 E 7750 N,,,Vernal,Uintah,641300,4492000,2017,5.08,4.17,,0.08,,0.08,1.41,-12170649.83,4948642.252
111,14209,Ruby Pipeline LLC; Wildcat Hills Compressor Station,Remote location,,,Box Elder County,Box Elder,324728,4625346,2017,0.81,0.97,,0.1225,,0.1225,0.06,-12591171.99,5125187.226
112,14263,Wyoming Interstate Company- Diamond Mountain Turbine Compressor Station,Remote location near,,,Vernal,Uintah,652144,4505072,2017,1.19,1.15,,0.0856,,0.0856,0.17,-12156044.45,4965623.976
113,14265,Kern River Gas Transmission Company- MIlford Compressor Station,800 East 7900 South,,,Minersville,Beaver,325529,4236484,2017,1.72,10.55,0.00854,2.49,,2.49,4.73,-12578451.65,4616144.193
114,10257,Mid-America Pipeline Company- Thompson Site,Remote Location,,,Thompson,Grand,609900,4312400,2017,0.02,0.01,,,,,2.83,-12215274.18,4715037.225
115,10263,Mid-America Pipeline Company- Harley Dome Station,0.4 miles south of exit 227 of I-70 on Harley Dome Road,,,Harley Dome,Grand,661730,4337250,2017,0.093,0.14,,0.007,,,6.89,-12148058.31,4745972.813
116,12901,Mid-America Pipeline Company- Lisbon Pump Station,5 miles E of Hwy 160,30 miles SE of Moab,,Moab,San Juan,647500,4237700,2017,4.71,8.42,,0.362,,,7.52,-12168748.67,4618382.672
117,10047,Utah State University- Main Campus,8315 Old Main Hill,,,Logan,Cache,432560,4621850,2017,6.903,18.782,,2.843,,2.843,2.235,-12446754.03,5122948.812
118,10102,College of Eastern Utah- Central Heating Plant,330 East 530 North,,,Price,Carbon,516720,4383450,2017,1.48,0.997,,0.139,,0.1,0.107,-12334784.33,4808074.603
119,10652,Snow College- Snow College,150 East College Ave,,,Ephraim,Sanpete,449400,4356600,2017,2.466,2.514,,0.52,,0.52,0.408,-12421843.1,4772991.807
120,11751,Salt Lake Community College- South City Campus,1575 S State St.,,,Salt Lake City,Salt Lake,425000,4511000,2017,0.439572,0.26165,,0.0397708,,0.0397708,0.0287815,-12455357.42,4975026.956
121,10405,Intermountain Health Care- TOSH - The Orthopedic Specialty Hospital,5848 South Fashion Boulevard,,,Murray,Salt Lake,425300,4499700,2017,2.669,1.828,,0.241,,0.237,0.444,-12454812.08,4960086.292
122,13308,Intermountain Health Care- Intermountain Medical Center - Murray,5121 South Cottonwood Street,,,Murray,Salt Lake,424612,4501039,2017,9.15,4.92,,1.73,,1.73,1.25,-12455735.66,4961846.812
123,12815,Salt Lake City Corp.- 451 S State St.,451 South State St.,,,Salt Lake City,Salt Lake,425452,4512480,2017,0.79,0.951,0.005,0.07,,0.07,0.053,-12454781.12,4976992.022
124,11594,Tooele Army Depot- Tooele Army Depot,Tooele Army Depot,"JMTE-BON, Bldg 501, Attn: Nick Montgomery",,Tooele,Tooele,358300,4488200,2017,2.4,12.59,,67.99,,10.75,4.06,-12542708.07,4943618.994
125,14085,"UNEV Pipeline, LLC- Cedar City Terminal",4600 N Wecco Rd,,,Cedar City,Iron,301692,4181844,2017,3.53,1.43,,0.06,,0.04,17.51,-12607078.4,4545920.231
126,10825,Geneva Nitrogen Inc.: Geneva Nitrogen Plant,1165 North 1600 West,,,Vineyard,Utah,437470,4463352,2017,4.5024,2.68,0.17152,1.97680578,,0.65792665,0.2948,-12438391.61,4912312.731
127,11590,"Martin Marietta Materials, Inc.- Milford Quarry",3.5 miles north of Milford,on County Road 163,,Milford,Beaver,321000,4259500,2017,9.082,12.453,,9.191,,1.818,0.929,-12584861.49,4645447.723
128,11199,"Midwestern Fabricators, LLC- Fiberglass Manufacturing Plant",1235 South Pioneer Rd.,,,Salt Lake City,Salt Lake,418995,4510546,2017,0.227682,0.27105,0.00132815,0.0205998,,0.0205998,15.06985164,-12463267.85,4974342.545
129,13014,"ETC Canyon Pipeline, LLC- Harley Dome NGL Extraction Facility",Grand County,,,Harley Dome,Grand,666000,4338000,2017,24.22,24.05,,0.36,,0.36,6.42,-12142538.37,4746827.198
130,11440,"Smithfield Hog Production, Rocky Mtn Region - Swine Feed Mill",585 East 6th Ave.,,,Milford,Beaver,325570,4250830,2017,2.33,2.77,,22.44,,11.32,0.15,-12578794.01,4634480.153
